종목명,종목코드,현재가,거래량,거래대금,PER,PBR,EPS,BPS,배당률
금호건설,002990,10900.0,6570006.0,71613065400.0,,,,,
금호석유화학우,011785,50000.0,3961.0,198050000.0,,,,,
금호석유화학,011780,123500.0,116059.0,14333286500.0,,,,,
금호에이치티,214330,5550.0,342314.0,1899842700.0,,,,,
금호전기,001210,894.0,0.0,0.0,,,,,
금호타이어,073240,5850.0,4472913.0,26166541050.0,,,,,
금화피에스시,036190,32100.0,8677.0,278531700.0,,,,,
기가레인,049080,11290.0,7150686.0,80731244940.0,,,,,
기가비스,420770,162800.0,148148.0,24118494400.0,,,,,
기산텔레콤,035460,2065.0,67563.0,139517595.0,,,,,
기신정기,092440,1900.0,6727.0,12781300.0,,,,,
기아,000270,149700.0,967288.0,144803013600.0,,,,,
길교이앤씨,456700,,,,,,,,
까뮤이앤씨,013700,1445.0,1008304.0,1456999280.0,,,,,
깨끗한나라우,004545,6200.0,26808.0,166209600.0,,,,,
깨끗한나라,004540,1907.0,9018407.0,17198102149.0,,,,,
꿈비,407400,2070.0,15168.0,31397760.0,,,,,
나노,187790,2875.0,62747.0,180397625.0,,,,,
나노신소재,121600,43850.0,42200.0,1850470000.0,,,,,
나노실리칸첨단소재,286750,1704.0,87394.0,148919376.0,,,,,
나노씨엠에스,247660,2995.0,9083.0,27203585.0,,,,,
나노엔텍,039860,3555.0,110131.0,391515705.0,,,,,
나노캠텍,091970,4300.0,157544.0,677439200.0,,,,,
나노팀,417010,4415.0,90409.0,399155735.0,,,,,
나눔테크,244880,1729.0,4.0,6916.0,,,,,
나라셀라,405920,1784.0,1560.0,2783040.0,,,,,
나라소프트,288490,,,,,,,,
나라엠앤디,051490,2700.0,58792.0,158738400.0,,,,,
나래나노텍,137080,5160.0,16703.0,86187480.0,,,,,
나무가,190510,13040.0,38998.0,508533920.0,,,,,
나무기술,242040,3955.0,415947.0,1645070385.0,,,,,
나우로보틱스,459510,12150.0,21401.0,260022150.0,,,,,
나우IB,293580,1291.0,215182.0,277799962.0,,,,,
